number,formid,form.sample_collection_dt,form.coordinates,form.species,form.if_other,form.cnty_name,form.sbcnty_name,form.sbcnty_name1,form.ward_sample,form.ward_sample1,form.sample_source,form.clinical_signs,form.if_known,form.other,completed_time,started_time,username,received_on,form_link,hq_user
10,367516de-9319-4634-b91a-dbc769f00943,11/08/2021,0.0919283 34.2327283 1240.55 5.9,1,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly excessive_salivation high_libido,---,11/08/2021 11:53,11/08/2021 11:52,tabala,11/08/2021 11:54,https://www.commcarehq.org/a/onewater/reports/form_data/367516de-9319-4634-b91a-dbc769f00943/,tabala
11,08cd6537-a326-40e4-b956-389732bcd5d5,16/08/2021,-0.0353283 34.1016217 626.71 8.6,1,---,sia_cnty,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation high_libido,---,16/08/2021 12:30,16/08/2021 12:29,oigo,16/08/2021 12:30,https://www.commcarehq.org/a/onewater/reports/form_data/08cd6537-a326-40e4-b956-389732bcd5d5/,oigo
12,6f6eeb4d-b321-4c1d-845f-16dffa81dfcb,16/08/2021,-0.0286375 34.0979407 603.8 4.0,1,---,sia_cnty,---,Bondo,---,Yimbo East,health_worker,1,hydrophobia excessive_salivation paralysis,---,16/08/2021 12:11,16/08/2021 12:10,tabala,16/08/2021 16:09,https://www.commcarehq.org/a/onewater/reports/form_data/6f6eeb4d-b321-4c1d-845f-16dffa81dfcb/,tabala
13,9cee95e3-a56c-487b-b7c7-786a3f411643,17/08/2021,-2.6586647937074304 38.096378641203046 838.0 5.0,1,---,mkn_cnty,Kibwezi_East,---,Ivingoni / Nzambani,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,17/08/2021 07:34,17/08/2021 07:33,muteti,17/08/2021 07:34,https://www.commcarehq.org/a/onewater/reports/form_data/9cee95e3-a56c-487b-b7c7-786a3f411643/,muteti
14,ba9c0c40-e560-4f56-8d25-dbb618b0c53d,19/08/2021,-1.5745706 37.5779544 1168.75 4.66,3,---,mkn_cnty,Mbooni,---,Waia / Kako,---,health_worker,1,aggressive biting_objects high_libido ,Anorexia,19/08/2021 13:23,19/08/2021 13:22,jim,19/08/2021 13:23,https://www.commcarehq.org/a/onewater/reports/form_data/ba9c0c40-e560-4f56-8d25-dbb618b0c53d/,jim
15,a159f544-e77b-413d-bb50-065fd252e38c,20/08/2021,-0.0516722 34.068606 1129.99 4.58,5,---,sia_cnty,---,Bondo,---,West Yimbo,health_worker,1,running_aimlessly hydrophobia excessive_salivation,---,20/08/2021 12:47,20/08/2021 12:45,oigo,20/08/2021 12:47,https://www.commcarehq.org/a/onewater/reports/form_data/a159f544-e77b-413d-bb50-065fd252e38c/,oigo
16,3a15271c-eb20-478a-bb4d-d156559e3979,20/08/2021,-0.0593687 34.070337 1189.83 4.59,1,---,sia_cnty,---,Bondo,---,West Yimbo,community,1,aggressive hydrophobia excessive_salivation paralysis,---,20/08/2021 15:08,20/08/2021 15:07,tabala,20/08/2021 16:48,https://www.commcarehq.org/a/onewater/reports/form_data/3a15271c-eb20-478a-bb4d-d156559e3979/,tabala
17,bea444bc-50e7-47cf-8289-e4cb91573fa2,26/08/2021,-1.7294052243232727 37.67647278495133 1026.0 8.5,5,---,mkn_cnty,Mbooni,---,Waia / Kako,---,health_worker,1,excessive_salivation paralysis,---,26/08/2021 08:01,26/08/2021 07:59,muteti,26/08/2021 08:02,https://www.commcarehq.org/a/onewater/reports/form_data/bea444bc-50e7-47cf-8289-e4cb91573fa2/,muteti
18,823d2fcd-9948-4b6d-af06-1e5b0cbbede5,26/08/2021,-2.0149924233555794 37.70151766017079 951.0 5.0,3,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects ,Anorexia,26/08/2021 12:37,26/08/2021 12:35,muteti,26/08/2021 12:37,https://www.commcarehq.org/a/onewater/reports/form_data/823d2fcd-9948-4b6d-af06-1e5b0cbbede5/,muteti
19,c9cc9324-0648-483e-aa9a-3e6cae203ae8,31/08/2021,0.0859824 34.2357432 1243.31 19.0,5,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,hydrophobia excessive_salivation,---,31/08/2021 13:13,31/08/2021 13:07,oigo,31/08/2021 13:14,https://www.commcarehq.org/a/onewater/reports/form_data/c9cc9324-0648-483e-aa9a-3e6cae203ae8/,oigo
20,95ccb96b-e348-4cba-8e43-15fd0064b493,01/09/2021,-1.8725005 37.6740305 1116.57 5.41,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly biting_objects,---,01/09/2021 10:01,01/09/2021 09:56,jim,01/09/2021 11:43,https://www.commcarehq.org/a/onewater/reports/form_data/95ccb96b-e348-4cba-8e43-15fd0064b493/,jim
21,2944b407-f820-4ebb-91a2-4073b977c0e6,01/09/2021,-1.9171232 37.7198267 1259.16 5.2,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,---,Diarrhoea,01/09/2021 11:43,01/09/2021 11:40,jim,01/09/2021 11:43,https://www.commcarehq.org/a/onewater/reports/form_data/2944b407-f820-4ebb-91a2-4073b977c0e6/,jim
22,3010e472-95d2-4edd-b999-12fffb64987f,01/09/2021,-1.9173259 37.7196362 1064.37 5.0,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,---,Anorexia protrusion_of_the_tongue,01/09/2021 11:46,01/09/2021 11:44,jim,01/09/2021 11:46,https://www.commcarehq.org/a/onewater/reports/form_data/3010e472-95d2-4edd-b999-12fffb64987f/,jim
23,24d4b3ef-fc95-419c-88cb-9b2315db14cc,02/09/2021,-2.0050661964342 37.7541624661535 962.0 8.0,3,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation biting_objects high_libido,---,02/09/2021 11:20,02/09/2021 11:19,muteti,02/09/2021 12:38,https://www.commcarehq.org/a/onewater/reports/form_data/24d4b3ef-fc95-419c-88cb-9b2315db14cc/,muteti
24,6b52db0b-eb8e-4e19-b793-753cfe1c7ebb,03/09/2021,-2.0572249 37.7592134 936.74 6.83,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation,---,03/09/2021 07:31,03/09/2021 07:28,jim,03/09/2021 07:31,https://www.commcarehq.org/a/onewater/reports/form_data/6b52db0b-eb8e-4e19-b793-753cfe1c7ebb/,jim
25,a49670bc-918e-4c02-9069-452d13b3e597,05/09/2021,0.0044279 34.1237382 1150.78 31.23,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects,---,05/09/2021 07:03,05/09/2021 07:01,oigo,05/09/2021 07:03,https://www.commcarehq.org/a/onewater/reports/form_data/a49670bc-918e-4c02-9069-452d13b3e597/,oigo
26,18def2ac-cff3-4256-be58-fb6a52b44747,05/09/2021,0.0050727 34.1241762 1153.74 8.08,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,05/09/2021 07:44,05/09/2021 07:44,tabala,05/09/2021 07:45,https://www.commcarehq.org/a/onewater/reports/form_data/18def2ac-cff3-4256-be58-fb6a52b44747/,tabala
27,7778daf7-2114-44d5-887c-b1055f04db8a,05/09/2021,0.0084339 34.1270982 1134.69 4.45,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive excessive_salivation biting_objects,---,05/09/2021 08:13,05/09/2021 08:12,oigo,05/09/2021 08:13,https://www.commcarehq.org/a/onewater/reports/form_data/7778daf7-2114-44d5-887c-b1055f04db8a/,oigo
28,65b33aee-2b04-4a21-b44e-083e8ac61e7d,05/09/2021,0.0667313 34.2780514 1245.45 3.9,1,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,toll_free_line,0,---,---,05/09/2021 10:47,05/09/2021 10:46,oigo,05/09/2021 10:47,https://www.commcarehq.org/a/onewater/reports/form_data/65b33aee-2b04-4a21-b44e-083e8ac61e7d/,oigo
29,f30d0f4b-3a49-4cf8-8f59-5c34283de148,10/09/2021,-0.1781597 34.3524821 1147.27 8.5,5,---,sia_cnty,---,Rarieda,---,West Asembo,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation,---,10/09/2021 12:52,10/09/2021 12:51,oigo,10/09/2021 12:52,https://www.commcarehq.org/a/onewater/reports/form_data/f30d0f4b-3a49-4cf8-8f59-5c34283de148/,oigo
30,c0da0363-6d9b-433d-992c-2c69ca875d39,02/09/2021,0.068245 34.2772117 1273.28 4.9,5,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,community,1,aggressive excessive_salivation paralysis,---,02/09/2021 10:41,02/09/2021 10:39,tabala,11/09/2021 07:55,https://www.commcarehq.org/a/onewater/reports/form_data/c0da0363-6d9b-433d-992c-2c69ca875d39/,tabala
31,a72da081-97fc-45d7-b145-c9d0ce3cc727,02/09/2021,0.0681938 34.2772192 1276.22 4.5,5,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,community,1,aggressive excessive_salivation paralysis,---,02/09/2021 10:46,02/09/2021 10:43,tabala,11/09/2021 07:55,https://www.commcarehq.org/a/onewater/reports/form_data/a72da081-97fc-45d7-b145-c9d0ce3cc727/,tabala
32,8db971be-9088-468f-b22f-bd6e1601b936,11/09/2021,-0.0529475 34.1441404 1129.2 4.4,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation high_libido paralysis,---,11/09/2021 05:19,11/09/2021 05:18,tabala,11/09/2021 07:55,https://www.commcarehq.org/a/onewater/reports/form_data/8db971be-9088-468f-b22f-bd6e1601b936/,tabala
33,0006c412-58dc-429c-b522-fed0f14fa8d8,13/09/2021,-1.920203 37.7463043 1018.05 14.83,5,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia excessive_salivation ,Anotexia,13/09/2021 08:58,13/09/2021 08:53,jim,13/09/2021 08:58,https://www.commcarehq.org/a/onewater/reports/form_data/0006c412-58dc-429c-b522-fed0f14fa8d8/,jim
34,53c43c0b-a508-4cae-b4d8-15f1888afd26,07/09/2021,-1.6857073875144124 37.79714461416006 983.0 9.0,3,---,mkn_cnty,Mbooni,---,Kalawa,---,health_worker,1,paralysis ,Anorexia,07/09/2021 08:41,07/09/2021 08:39,muteti,21/09/2021 07:06,https://www.commcarehq.org/a/onewater/reports/form_data/53c43c0b-a508-4cae-b4d8-15f1888afd26/,muteti
35,c9be65c2-3f7a-4c81-94d8-79e65f37c594,21/09/2021,-0.260504 34.3206411 1173.74 4.54,1,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,21/09/2021 06:42,21/09/2021 06:41,tabala,23/09/2021 06:44,https://www.commcarehq.org/a/onewater/reports/form_data/c9be65c2-3f7a-4c81-94d8-79e65f37c594/,tabala
36,bec3280f-4dcb-4b54-87f4-39d26071b832,24/09/2021,-2.6197782 38.2756755 600.07 6.5,1,---,mkn_cnty,Kibwezi_East,---,Mtito Andei,---,toll_free_line,1,aggressive running_aimlessly,---,24/09/2021 07:11,24/09/2021 07:09,jim,24/09/2021 09:56,https://www.commcarehq.org/a/onewater/reports/form_data/bec3280f-4dcb-4b54-87f4-39d26071b832/,jim
37,e5dd1f84-f763-4cb0-8238-d8c92f9507c1,24/09/2021,-2.2851741 37.8199146 989.38 7.9,1,---,mkn_cnty,Kibwezi_West,---,Nguumo,---,health_worker,1,paralysis ,groaning,24/09/2021 09:58,24/09/2021 09:56,jim,24/09/2021 09:58,https://www.commcarehq.org/a/onewater/reports/form_data/e5dd1f84-f763-4cb0-8238-d8c92f9507c1/,jim
38,7334c9c7-6dec-466a-aada-968b54a93325,27/09/2021,-1.8880997551605105 37.73170734755695 1065.0 8.0,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,27/09/2021 12:19,27/09/2021 12:17,muteti,27/09/2021 12:20,https://www.commcarehq.org/a/onewater/reports/form_data/7334c9c7-6dec-466a-aada-968b54a93325/,muteti
39,0fc2d18d-f6e3-4fad-8a4a-08ac214336cd,26/09/2021,-0.1319069 34.3523391 1255.05 4.26,1,---,sia_cnty,---,Rarieda,---,West Asembo,health_worker,1,aggressive biting_objects high_libido paralysis,---,26/09/2021 12:20,26/09/2021 12:19,tabala,27/09/2021 19:22,https://www.commcarehq.org/a/onewater/reports/form_data/0fc2d18d-f6e3-4fad-8a4a-08ac214336cd/,tabala
40,d9841110-fe7e-4d47-9321-25682116984c,01/10/2021,-1.9020124 37.7600679 1033.16 4.31,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,01/10/2021 12:51,01/10/2021 12:50,jim,01/10/2021 12:51,https://www.commcarehq.org/a/onewater/reports/form_data/d9841110-fe7e-4d47-9321-25682116984c/,jim
41,9c6c25f1-eac3-4dbc-adae-4b6c2f0b1b66,01/10/2021,-0.2338915 34.3307561 1170.67 6.05,5,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,hydrophobia excessive_salivation ,frequent_mooing,01/10/2021 13:19,01/10/2021 13:17,tabala,02/10/2021 08:07,https://www.commcarehq.org/a/onewater/reports/form_data/9c6c25f1-eac3-4dbc-adae-4b6c2f0b1b66/,tabala
42,66d14989-0689-4b79-bd38-34c07de99fee,05/10/2021,-0.2460483 34.3097667 1175.42 5.0,5,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,05/10/2021 08:43,05/10/2021 08:35,tabala,05/10/2021 13:21,https://www.commcarehq.org/a/onewater/reports/form_data/66d14989-0689-4b79-bd38-34c07de99fee/,tabala
43,8455cc1f-39ba-4166-993b-6dbc4ede9c06,09/10/2021,-1.9560910714790225 37.68117059022188 1049.0 9.0,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly biting_objects,---,09/10/2021 14:07,09/10/2021 14:06,muteti,09/10/2021 14:07,https://www.commcarehq.org/a/onewater/reports/form_data/8455cc1f-39ba-4166-993b-6dbc4ede9c06/,muteti
44,6b8f5294-848a-4ce7-8395-80641d2d803b,12/10/2021,-0.071625 34.382025 1279.65 9.0,1,---,sia_cnty,---,Bondo,---,West Yimbo,health_worker,1,aggressive excessive_salivation high_libido paralysis,---,12/10/2021 14:52,12/10/2021 14:51,tabala,12/10/2021 16:43,https://www.commcarehq.org/a/onewater/reports/form_data/6b8f5294-848a-4ce7-8395-80641d2d803b/,tabala
45,f164f711-74d4-417d-b4e3-247448251d59,14/10/2021,-0.1398388 34.3601431 1273.56 4.3,1,---,sia_cnty,---,Rarieda,---,East Asembo,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,14/10/2021 06:44,14/10/2021 06:41,tabala,14/10/2021 07:50,https://www.commcarehq.org/a/onewater/reports/form_data/f164f711-74d4-417d-b4e3-247448251d59/,tabala
46,32ea4eff-7e1c-4f48-a454-3cb37b19c5e0,15/10/2021,0.0325706 34.2763963 1238.48 9.0,5,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,health_worker,1,aggressive hydrophobia,---,15/10/2021 12:40,15/10/2021 12:11,oigo,15/10/2021 14:07,https://www.commcarehq.org/a/onewater/reports/form_data/32ea4eff-7e1c-4f48-a454-3cb37b19c5e0/,oigo
47,fa1b1624-94b4-4718-aade-e51256fbc92e,17/10/2021,-0.2772828 34.2971551 1191.01 10.7,5,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,aggressive excessive_salivation biting_objects,---,17/10/2021 07:36,17/10/2021 07:34,oigo,17/10/2021 07:36,https://www.commcarehq.org/a/onewater/reports/form_data/fa1b1624-94b4-4718-aade-e51256fbc92e/,oigo
48,54a7ee6d-ffc3-4e85-a873-d72ee8351a1b,18/10/2021,-0.2446023 34.3005931 1160.41 9.0,5,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,aggressive hydrophobia excessive_salivation,---,18/10/2021 10:37,18/10/2021 10:36,oigo,18/10/2021 10:38,https://www.commcarehq.org/a/onewater/reports/form_data/54a7ee6d-ffc3-4e85-a873-d72ee8351a1b/,oigo
49,321eba82-a9b2-44d6-a5ac-0cf91b07b67e,19/10/2021,-1.7712976 37.4115732 1586.84 5.93,1,---,mkn_cnty,Kaiti,---,Ilima,---,health_worker,1,excessive_salivation paralysis ,Anorexia,19/10/2021 09:33,19/10/2021 09:31,jim,19/10/2021 09:33,https://www.commcarehq.org/a/onewater/reports/form_data/321eba82-a9b2-44d6-a5ac-0cf91b07b67e/,jim
50,76bc5b4a-2431-4323-a183-74bee5288b25,18/10/2021,-1.9334696559235454 37.75779174640775 1062.0 7.5,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido,---,18/10/2021 09:39,18/10/2021 09:35,muteti,21/10/2021 10:07,https://www.commcarehq.org/a/onewater/reports/form_data/76bc5b4a-2431-4323-a183-74bee5288b25/,muteti
51,af2ff2ef-60b9-4324-8b7f-c18c060de5b2,26/10/2021,-0.064701 34.0863101 1128.26 6.5,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive biting_objects high_libido,---,26/10/2021 09:15,26/10/2021 09:15,oigo,26/10/2021 09:15,https://www.commcarehq.org/a/onewater/reports/form_data/af2ff2ef-60b9-4324-8b7f-c18c060de5b2/,oigo
52,168c46fa-926d-49ba-912f-5a027d218a98,28/10/2021,-0.05166 34.15811 1171.18 6.6,1,---,sia_cnty,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation biting_objects,---,28/10/2021 07:54,28/10/2021 07:53,tabala,28/10/2021 15:57,https://www.commcarehq.org/a/onewater/reports/form_data/168c46fa-926d-49ba-912f-5a027d218a98/,tabala
53,e8a3e8ce-5a54-4f2e-8da4-14ac2ecff356,29/10/2021,-1.9464264437556267 37.6589778251946 1039.0 7.5,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_facility,0,---,---,29/10/2021 08:29,29/10/2021 08:28,muteti,01/11/2021 11:10,https://www.commcarehq.org/a/onewater/reports/form_data/e8a3e8ce-5a54-4f2e-8da4-14ac2ecff356/,muteti
54,52ffd496-57c8-4ff6-a14b-8ee7d7811f18,05/11/2021,-1.87190315220505 37.552224565297365 1271.0 8.5,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly excessive_salivation,---,05/11/2021 08:13,05/11/2021 08:12,muteti,05/11/2021 08:13,https://www.commcarehq.org/a/onewater/reports/form_data/52ffd496-57c8-4ff6-a14b-8ee7d7811f18/,muteti
55,fecd0744-9342-4e08-b32e-7a285673669a,03/11/2021,-0.0489801 34.1475246 1134.47 5.5,1,---,sia_cnty,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation biting_objects high_libido paralysis,---,03/11/2021 06:51,03/11/2021 06:50,tabala,09/11/2021 09:11,https://www.commcarehq.org/a/onewater/reports/form_data/fecd0744-9342-4e08-b32e-7a285673669a/,tabala
56,0c57824d-2c33-40ab-93dc-652d919587cc,03/11/2021,-0.0640901 34.0819485 1132.07 5.16,1,---,sia_cnty,---,Bondo,---,West Yimbo,community,1,running_aimlessly biting_objects paralysis ,can't_eat,03/11/2021 08:18,03/11/2021 08:17,tabala,09/11/2021 09:11,https://www.commcarehq.org/a/onewater/reports/form_data/0c57824d-2c33-40ab-93dc-652d919587cc/,tabala
57,35e31716-9ad7-4856-ac62-f98942b0efad,06/11/2021,-0.1393367 34.3651 1233.14 1.0,1,---,sia_cnty,---,Rarieda,---,West Asembo,community,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido,---,06/11/2021 15:06,06/11/2021 15:05,tabala,09/11/2021 09:11,https://www.commcarehq.org/a/onewater/reports/form_data/35e31716-9ad7-4856-ac62-f98942b0efad/,tabala
58,d0bb2fdd-bb19-4618-8163-409cb3e0a4ce,11/11/2021,-0.1179414 34.2079476 1151.48 7.5,5,---,sia_cnty,---,Bondo,---,Central Sakwa,health_worker,1,running_aimlessly hydrophobia excessive_salivation,---,11/11/2021 16:17,11/11/2021 16:16,oigo,11/11/2021 16:17,https://www.commcarehq.org/a/onewater/reports/form_data/d0bb2fdd-bb19-4618-8163-409cb3e0a4ce/,oigo
59,616e0783-d854-470d-a49d-e415a685e736,15/11/2021,-1.7725178366526961 37.61146140284836 1149.0 7.0,1,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,aggressive running_aimlessly biting_objects,---,15/11/2021 11:25,15/11/2021 11:21,muteti,15/11/2021 11:25,https://www.commcarehq.org/a/onewater/reports/form_data/616e0783-d854-470d-a49d-e415a685e736/,muteti
60,642c45f8-cc6d-41f0-beb4-271fb5a50ef9,19/11/2021,-1.9083334598690271 37.7243881020695 1084.0 7.5,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation paralysis,---,19/11/2021 17:02,19/11/2021 17:01,muteti,21/11/2021 08:38,https://www.commcarehq.org/a/onewater/reports/form_data/642c45f8-cc6d-41f0-beb4-271fb5a50ef9/,muteti
61,d5a803b8-4652-4ab6-a52e-1b0203e2b058,23/11/2021,-0.1399933 34.3601633 1233.04 4.59,6,sheep,sia_cnty,---,Rarieda,---,West Asembo,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,23/11/2021 12:35,23/11/2021 12:33,tabala,23/11/2021 18:31,https://www.commcarehq.org/a/onewater/reports/form_data/d5a803b8-4652-4ab6-a52e-1b0203e2b058/,tabala
62,792903f4-e8a3-4cc0-a772-210410b35afa,25/11/2021,-0.1393837 34.3553371 1231.47 9.85,1,---,sia_cnty,---,Rarieda,---,West Asembo,health_worker,1,aggressive running_aimlessly hydrophobia paralysis,---,25/11/2021 10:51,25/11/2021 10:46,oigo,25/11/2021 10:51,https://www.commcarehq.org/a/onewater/reports/form_data/792903f4-e8a3-4cc0-a772-210410b35afa/,oigo
63,b774acb8-8039-44fd-9c27-bbea11eab275,25/11/2021,-0.139877 34.3635917 1231.6 6.72,1,---,sia_cnty,---,Rarieda,---,West Asembo,community,1,aggressive excessive_salivation biting_objects high_libido,---,25/11/2021 09:23,25/11/2021 09:23,tabala,25/11/2021 18:01,https://www.commcarehq.org/a/onewater/reports/form_data/b774acb8-8039-44fd-9c27-bbea11eab275/,tabala
64,d72896a8-30f2-4206-990d-dbc98df0dee9,02/12/2021,-0.2887051 34.3184285 1180.84 7.0,5,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,hydrophobia excessive_salivation high_libido,---,02/12/2021 12:16,02/12/2021 12:14,oigo,02/12/2021 12:16,https://www.commcarehq.org/a/onewater/reports/form_data/d72896a8-30f2-4206-990d-dbc98df0dee9/,oigo
65,4f9cbf13-7532-4029-ae37-5f28ab357634,02/12/2021,-2.0588882 37.7632922 912.71 7.5,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,02/12/2021 12:59,02/12/2021 12:57,jim,02/12/2021 12:59,https://www.commcarehq.org/a/onewater/reports/form_data/4f9cbf13-7532-4029-ae37-5f28ab357634/,jim
