sample_collection_dt,Latitude,Longitude,Elevation,species,if_other,cnty_name,sbcnty_name,sbcnty_name1,ward_sample,ward_sample1,sample_source,clinical_signs,if_known,other,animal_species,animal_id,village,location,sub_counties,contact_details,bar_code,rapid_diagnostic_test,lab_diagnostics_pcr,test_location,sequence_status
2021-08-10,-1.9913538,37.7568672,1013.22,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,DM 011 / 2021,Ngomeni,Mbuvo,"",723588992,Z0083218,Positive,Positive,Nairobi,Sequenced
2021-08-11,0.0919224,34.2327891,1214.85,Dog,---,Siaya,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,SIA/CAN/001,Boro,Central Alego,"",,Z00861877,Positive,Positive,Nairobi,Sequenced
2021-08-11,0.0919283,34.2327283,1240.55,Dog,---,Siaya,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly excessive_salivation high_libido,---,Canine,SIA/CAN/001,Boro,Central Alego,"",,Z00861877,Positive,Positive,Nairobi,Sequenced
2021-08-16,-0.0353283,34.1016217,626.71,Dog,---,Siaya,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation high_libido,---,Canine,SIA/CAN/002,Kwoyo,Imbo East,"",,Z00861875,Negative,Negative,Nairobi,Sequenced
2021-08-16,-0.0353283,34.1016217,626.71,Dog,---,Siaya,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation high_libido,---,Canine,SIA/CAN/003,Lela,Imbo East,"",,Z00861876,Negative,Negative,Nairobi,Sequenced
2021-08-16,-0.0286375,34.0979407,603.8,Dog,---,Siaya,---,Bondo,---,Yimbo East,health_worker,1,hydrophobia excessive_salivation paralysis,---,Canine,SIA/CAN/002,Kwoyo,Imbo East,"",,Z00861875,Negative,Negative,Nairobi,Sequenced
2021-08-16,-0.0286375,34.0979407,603.8,Dog,---,Siaya,---,Bondo,---,Yimbo East,health_worker,1,hydrophobia excessive_salivation paralysis,---,Canine,SIA/CAN/003,Lela,Imbo East,"",,Z00861876,Negative,Negative,Nairobi,Sequenced
2021-08-17,-2.6586647937074304,38.096378641203046,838.0,Dog,---,Makueni,Kibwezi_East,---,Ivingoni / Nzambani,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,DM 013 / 2021,Ivingoni,Ivingoni,"",787775506,Z0083204,Positive,Positive,Nairobi,Sequenced
2021-08-19,-1.5745706,37.5779544,1168.75,Goat,---,Makueni,Mbooni,---,Waia / Kako,---,health_worker,1,aggressive biting_objects high_libido ,Anorexia,Caprine,CAP 002/2021,Itulu,Waia,"",708292102,Z0083222,Positive,Positive,Nairobi,Sequenced
2021-08-20,-0.0516722,34.068606,1129.99,Cattle,---,Siaya,---,Bondo,---,West Yimbo,health_worker,1,running_aimlessly hydrophobia excessive_salivation,---,Bovine,SIA/BOV/001,Uriri,Imbo West,"",,Z00861873,Positive,Positive,Nairobi,Sequenced
2021-08-20,-0.0593687,34.070337,1189.83,Dog,---,Siaya,---,Bondo,---,West Yimbo,community,1,aggressive hydrophobia excessive_salivation paralysis,---,Bovine,SIA/BOV/001,Uriri,Imbo West,"",,Z00861873,Positive,Positive,Nairobi,Sequenced
2021-08-26,-1.7294052243232727,37.67647278495133,1026.0,Cattle,---,Makueni,Mbooni,---,Waia / Kako,---,health_worker,1,excessive_salivation paralysis,---,Caprine,CAP 003/2021,Nguumo,Kwa Kavisi,"",742809443,Z0083201,Positive,Positive,Nairobi,Sequenced
2021-08-26,-1.7294052243232727,37.67647278495133,1026.0,Cattle,---,Makueni,Mbooni,---,Waia / Kako,---,health_worker,1,excessive_salivation paralysis,---,Bovine,COW/MKN/003/2021,Mbimbini,Mbimbini,"",721344331,Z0083232,Negative,Negative,Nairobi,Sequenced
2021-08-26,-2.0149924233555794,37.70151766017079,951.0,Goat,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects ,Anorexia,Caprine,CAP 003/2021,Nguumo,Kwa Kavisi,"",742809443,Z0083201,Positive,Positive,Nairobi,Sequenced
2021-08-26,-2.0149924233555794,37.70151766017079,951.0,Goat,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects ,Anorexia,Bovine,COW/MKN/003/2021,Mbimbini,Mbimbini,"",721344331,Z0083232,Negative,Negative,Nairobi,Sequenced
2021-08-31,0.0859824,34.2357432,1243.31,Cattle,---,Siaya,---,Alego_Usonga,---,Central Alego,health_worker,1,hydrophobia excessive_salivation,---,Bovine,SIA/BOV/002,Boro,Central Alego,"",,Z00861872,Positive,Positive,Nairobi,Sequenced
2021-09-01,-1.8725005,37.6740305,1116.57,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,DM 016 / 2021,Ngunu,Muvau,"",722355768,Z0083228,Positive,Positive,Nairobi,Sequenced
2021-09-01,-1.8725005,37.6740305,1116.57,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,DM 015 / 2021,Kalaani,Ituka,"",715268659,Z0083229,Negative,Positive,Nairobi,Sequenced
2021-09-01,-1.8725005,37.6740305,1116.57,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,DM 014 / 2021,Kalaani,Ituka,"",715268659,Z0083230,Negative,Negative,Nairobi,Sequenced
2021-09-01,-1.9171232,37.7198267,1259.16,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,---,Diarrhoea,Canine,DM 016 / 2021,Ngunu,Muvau,"",722355768,Z0083228,Positive,Positive,Nairobi,Sequenced
2021-09-01,-1.9171232,37.7198267,1259.16,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,---,Diarrhoea,Canine,DM 015 / 2021,Kalaani,Ituka,"",715268659,Z0083229,Negative,Positive,Nairobi,Sequenced
2021-09-01,-1.9171232,37.7198267,1259.16,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,---,Diarrhoea,Canine,DM 014 / 2021,Kalaani,Ituka,"",715268659,Z0083230,Negative,Negative,Nairobi,Sequenced
2021-09-01,-1.9173259,37.7196362,1064.37,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,---,Anorexia protrusion_of_the_tongue,Canine,DM 016 / 2021,Ngunu,Muvau,"",722355768,Z0083228,Positive,Positive,Nairobi,Sequenced
2021-09-01,-1.9173259,37.7196362,1064.37,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,---,Anorexia protrusion_of_the_tongue,Canine,DM 015 / 2021,Kalaani,Ituka,"",715268659,Z0083229,Negative,Positive,Nairobi,Sequenced
2021-09-01,-1.9173259,37.7196362,1064.37,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,---,Anorexia protrusion_of_the_tongue,Canine,DM 014 / 2021,Kalaani,Ituka,"",715268659,Z0083230,Negative,Negative,Nairobi,Sequenced
2021-09-02,-2.0050661964342,37.7541624661535,962.0,Goat,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation biting_objects high_libido,---,Caprine,CAP 005/2021,Kaluluni,Mbuvo,"",721884447,Z0083223,Negative,Positive,Nairobi,Sequenced
2021-09-03,-2.0572249,37.7592134,936.74,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation,---,Canine,DM 017 / 2021,Ithemboni,Kiangini,"",722645420,Z0083224,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0044279,34.1237382,1150.78,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,SIA/CAN/005,Komolo,Imbo East,"",,Z00861867,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0044279,34.1237382,1150.78,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,SIA/CAN/006,Komolo,Imbo East,"",,Z00861868,Positive,Negative,Nairobi,Sequenced
2021-09-05,0.0044279,34.1237382,1150.78,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,SIA/CAN/007,Komolo,Imbo East,"",,Z00861869 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0044279,34.1237382,1150.78,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,SIA/CAN/008,Rae,Siaya Township,"",,Z00861870 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0050727,34.1241762,1153.74,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,Canine,SIA/CAN/005,Komolo,Imbo East,"",,Z00861867,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0050727,34.1241762,1153.74,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,Canine,SIA/CAN/006,Komolo,Imbo East,"",,Z00861868,Positive,Negative,Nairobi,Sequenced
2021-09-05,0.0050727,34.1241762,1153.74,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,Canine,SIA/CAN/007,Komolo,Imbo East,"",,Z00861869 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0050727,34.1241762,1153.74,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,Canine,SIA/CAN/008,Rae,Siaya Township,"",,Z00861870 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0084339,34.1270982,1134.69,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive excessive_salivation biting_objects,---,Canine,SIA/CAN/005,Komolo,Imbo East,"",,Z00861867,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0084339,34.1270982,1134.69,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive excessive_salivation biting_objects,---,Canine,SIA/CAN/006,Komolo,Imbo East,"",,Z00861868,Positive,Negative,Nairobi,Sequenced
2021-09-05,0.0084339,34.1270982,1134.69,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive excessive_salivation biting_objects,---,Canine,SIA/CAN/007,Komolo,Imbo East,"",,Z00861869 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0084339,34.1270982,1134.69,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive excessive_salivation biting_objects,---,Canine,SIA/CAN/008,Rae,Siaya Township,"",,Z00861870 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0667313,34.2780514,1245.45,Dog,---,Siaya,---,Alego_Usonga,---,Siaya Township,toll_free_line,0,---,---,Canine,SIA/CAN/005,Komolo,Imbo East,"",,Z00861867,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0667313,34.2780514,1245.45,Dog,---,Siaya,---,Alego_Usonga,---,Siaya Township,toll_free_line,0,---,---,Canine,SIA/CAN/006,Komolo,Imbo East,"",,Z00861868,Positive,Negative,Nairobi,Sequenced
2021-09-05,0.0667313,34.2780514,1245.45,Dog,---,Siaya,---,Alego_Usonga,---,Siaya Township,toll_free_line,0,---,---,Canine,SIA/CAN/007,Komolo,Imbo East,"",,Z00861869 ,Positive,Positive,Nairobi,Sequenced
2021-09-05,0.0667313,34.2780514,1245.45,Dog,---,Siaya,---,Alego_Usonga,---,Siaya Township,toll_free_line,0,---,---,Canine,SIA/CAN/008,Rae,Siaya Township,"",,Z00861870 ,Positive,Positive,Nairobi,Sequenced
2021-09-10,-0.1781597,34.3524821,1147.27,Cattle,---,Siaya,---,Rarieda,---,West Asembo,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation,---,Bovine,"",Akom,West Asembo,"",,Z00861866,Positive,Positive,Nairobi,Sequenced
2021-09-02,0.068245,34.2772117,1273.28,Cattle,---,Siaya,---,Alego_Usonga,---,Siaya Township,community,1,aggressive excessive_salivation paralysis,---,Bovine,SIA/BOV/003,Mireri,Siaya Township,"",,Z00861871,Positive,"","",""
2021-09-02,0.0681938,34.2772192,1276.22,Cattle,---,Siaya,---,Alego_Usonga,---,Siaya Township,community,1,aggressive excessive_salivation paralysis,---,Bovine,SIA/BOV/003,Mireri,Siaya Township,"",,Z00861871,Positive,"","",""
2021-09-11,-0.0529475,34.1441404,1129.2,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation high_libido paralysis,---,Canine,SIA/CAN/009,Nyamonye,Imbo East,"",,Z00861865,Positive,Positive,Nairobi,Sequenced
2021-09-13,-1.920203,37.7463043,1018.05,Cattle,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia excessive_salivation ,Anotexia,Bovine,COW/MKN/004/2021,Kathonzweni,Kathonzweni,"",725591374,Z0083239,Positive,Positive,Nairobi,Sequenced
2021-09-07,-1.6857073875144124,37.79714461416006,983.0,Goat,---,Makueni,Mbooni,---,Kalawa,---,health_worker,1,paralysis ,Anorexia,Caprine,CAP 004/2021,Kalima,Kathulumbu,"",795609757,Z0083238,Negative,Negative,Nairobi,Sequenced
2021-09-21,-0.260504,34.3206411,1173.74,Dog,---,Siaya,---,Rarieda,---,West Uyoma,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,Canine,SIA/CAN/010,Pala,West Uyoma,"",,Z00861864,Positive,"","",""
2021-09-24,-2.6197782,38.2756755,600.07,Dog,---,Makueni,Kibwezi_East,---,Mtito Andei,---,toll_free_line,1,aggressive running_aimlessly,---,Canine,DM 019/2021,Ilikoni,Mtito Andei,"",712093318,Z0083233,Positive,Positive,Nairobi,Sequenced
2021-09-24,-2.6197782,38.2756755,600.07,Dog,---,Makueni,Kibwezi_East,---,Mtito Andei,---,toll_free_line,1,aggressive running_aimlessly,---,Canine,DM 020/2021,Mwaani,Kaunguni,"",722999392,Z0083226,Positive,Positive,Nairobi,Sequenced
2021-09-24,-2.2851741,37.8199146,989.38,Dog,---,Makueni,Kibwezi_West,---,Nguumo,---,health_worker,1,paralysis ,groaning,Canine,DM 019/2021,Ilikoni,Mtito Andei,"",712093318,Z0083233,Positive,Positive,Nairobi,Sequenced
2021-09-24,-2.2851741,37.8199146,989.38,Dog,---,Makueni,Kibwezi_West,---,Nguumo,---,health_worker,1,paralysis ,groaning,Canine,DM 020/2021,Mwaani,Kaunguni,"",722999392,Z0083226,Positive,Positive,Nairobi,Sequenced
2021-09-27,-1.8880997551605105,37.73170734755695,1065.0,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,DM 017 / 2021,Malivani,Wote,"",742821818,Z0083225,Positive,Positive,Nairobi,Sequenced
2021-09-27,-1.8880997551605105,37.73170734755695,1065.0,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,"",Kaiani,Kathonzweni,"",713029447,Z0083227,Positive,Positive,Nairobi,Sequenced
2021-09-26,-0.1319069,34.3523391,1255.05,Dog,---,Siaya,---,Rarieda,---,West Asembo,health_worker,1,aggressive biting_objects high_libido paralysis,---,Canine,SIA/CAN/011,Sigor,West Asembo,"",,Z00861863,Positive,"","",""
2021-10-01,-1.9020124,37.7600679,1033.16,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,"",Mathemba,Kathonzweni,"",713850532,Z0083237,Positive,"","",""
2021-10-01,-0.2338915,34.3307561,1170.67,Cattle,---,Siaya,---,Rarieda,---,West Uyoma,health_worker,1,hydrophobia excessive_salivation ,frequent_mooing,Bovine,SIA/BOV/005,Garra,West Uyoma,"",,Z00861862,Positive,"","",""
2021-10-05,-0.2460483,34.3097667,1175.42,Cattle,---,Siaya,---,Rarieda,---,West Uyoma,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,Bovine,SIA/BOV/006,Nyawara,West Uyoma,"",,Z00861861,Positive,"","",""
2021-10-09,-1.9560910714790225,37.68117059022188,1049.0,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly biting_objects,---,,,,,,,,,,,
2021-10-12,-0.071625,34.382025,1279.65,Dog,---,Siaya,---,Bondo,---,West Yimbo,health_worker,1,aggressive excessive_salivation high_libido paralysis,---,Canine,SIA/CAN/012,Kanyagero,Imbo West,"",,Z00861860,Positive,"","",""
2021-10-14,-0.1398388,34.3601431,1273.56,Dog,---,Siaya,---,Rarieda,---,East Asembo,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,Canine,SIA/CAN/013,Lwak,West Asembo,"",,Z00861859,Positive,"","",""
2021-10-15,0.0325706,34.2763963,1238.48,Cattle,---,Siaya,---,Alego_Usonga,---,Siaya Township,health_worker,1,aggressive hydrophobia,---,Bovine,SIA/BOV/007,Achage,Siaya Township,"",,Z00861858,Positive,"","",""
2021-10-17,-0.2772828,34.2971551,1191.01,Cattle,---,Siaya,---,Rarieda,---,West Uyoma,health_worker,1,aggressive excessive_salivation biting_objects,---,Bovine,SIA/BOV/009,Ginga,West Uyoma,"",,Z00861857,Positive,"","",""
2021-10-18,-0.2446023,34.3005931,1160.41,Cattle,---,Siaya,---,Rarieda,---,West Uyoma,health_worker,1,aggressive hydrophobia excessive_salivation,---,Bovine,SIA/BOV/010,Arongo,West Uyoma,"",,Z00861856,Positive,"","",""
2021-10-19,-1.7712976,37.4115732,1586.84,Dog,---,Makueni,Kaiti,---,Ilima,---,health_worker,1,excessive_salivation paralysis ,Anorexia,Canine,DM 023/2021,Kaseki,Musalala,"",712679090,"",Negative,"","",""
2021-10-18,-1.9334696559235454,37.75779174640775,1062.0,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido,---,Canine,"",Syatu,Thavu,"",718223080,Z0083203,Positive,"","",""
2021-10-26,-0.064701,34.0863101,1128.26,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive biting_objects high_libido,---,Canine,"",Nyangera,Imbo East,"",,Z00861855,Positive,"","",""
2021-10-28,-0.05166,34.15811,1171.18,Dog,---,Siaya,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation biting_objects,---,Canine,"",Nyamonye,Imbo East,"",,Z00861854,Positive,"","",""
2021-10-29,-1.9464264437556267,37.6589778251946,1039.0,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_facility,0,---,---,,,,,,,,,,,
2021-11-05,-1.87190315220505,37.552224565297365,1271.0,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly excessive_salivation,---,Canine,DM/025/2021,Ngangani,Mumbuni,"",719534692,Z0083245,Positive,"","",""
2021-11-03,-0.0489801,34.1475246,1134.47,Dog,---,Siaya,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation biting_objects high_libido paralysis,---,Canine,SIA/CAN/016,Nyangera,Imbo West,"",,Z00861850,Positive,"","",""
2021-11-03,-0.0489801,34.1475246,1134.47,Dog,---,Siaya,---,Bondo,---,Yimbo East,community,1,aggressive excessive_salivation biting_objects high_libido paralysis,---,Canine,SIA/CAN/017,Nyamonye,Imbo East,"",,Z00861851,Positive,"","",""
2021-11-03,-0.0640901,34.0819485,1132.07,Dog,---,Siaya,---,Bondo,---,West Yimbo,community,1,running_aimlessly biting_objects paralysis ,can't_eat,Canine,SIA/CAN/016,Nyangera,Imbo West,"",,Z00861850,Positive,"","",""
2021-11-03,-0.0640901,34.0819485,1132.07,Dog,---,Siaya,---,Bondo,---,West Yimbo,community,1,running_aimlessly biting_objects paralysis ,can't_eat,Canine,SIA/CAN/017,Nyamonye,Imbo East,"",,Z00861851,Positive,"","",""
2021-11-06,-0.1393367,34.3651,1233.14,Dog,---,Siaya,---,Rarieda,---,West Asembo,community,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido,---,Canine,SIA/CAN/019,Atemo,West Asembo,"",,Z00861852,Positive,"","",""
2021-11-11,-0.1179414,34.2079476,1151.48,Cattle,---,Siaya,---,Bondo,---,Central Sakwa,health_worker,1,running_aimlessly hydrophobia excessive_salivation,---,Bovine,SIA/BOV/011,Alara,Central Sakwa,"",,Z00861847,Positive,Positive,Nairobi,Sequenced
2021-11-15,-1.7725178366526961,37.61146140284836,1149.0,Dog,---,Makueni,Makueni,---,Wote,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,DM/026/2021,Nthangu,Wote,"",718056980,Z0083234,Positive,Negative,Nairobi,Sequenced
2021-11-19,-1.9083334598690271,37.7243881020695,1084.0,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive excessive_salivation paralysis,---,Canine,DM/028/2021,Kiuwani,Kathonzweni,"",711175027,Z0083241,Negative,"","",""
2021-11-23,-0.1399933,34.3601633,1233.04,Sheep,sheep,Siaya,---,Rarieda,---,West Asembo,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,Ovine,"",Lwak,West Asembo,"",,Z00861846,Positive,Negative,Nairobi,Sequenced
2021-11-25,-0.1393837,34.3553371,1231.47,Dog,---,Siaya,---,Rarieda,---,West Asembo,health_worker,1,aggressive running_aimlessly hydrophobia paralysis,---,Canine,"",Atemo,West Asembo,"",,Z00861845,Positive,Positive,Nairobi,Sequenced
2021-11-25,-0.139877,34.3635917,1231.6,Dog,---,Siaya,---,Rarieda,---,West Asembo,community,1,aggressive excessive_salivation biting_objects high_libido,---,Canine,"",Atemo,West Asembo,"",,Z00861845,Positive,Positive,Nairobi,Sequenced
2021-12-02,-0.2887051,34.3184285,1180.84,Cattle,---,Siaya,---,Rarieda,---,West Uyoma,health_worker,1,hydrophobia excessive_salivation high_libido,---,Bovine,"",Odera Amoth,West Uyoma,"",,Z00861844,Positive,Positive,Nairobi,Sequenced
2021-12-02,-2.0588882,37.7632922,912.71,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,,,,,,,,,,,
2021-11-26,-0.1392671,34.3655978,1219.05,Donkey,---,Siaya,---,Rarieda,---,West Asembo,community,1,aggressive excessive_salivation high_libido,---,,,,,,,,,,,
2021-12-07,-2.2844941,37.8229559,925.37,Goat,---,Makueni,Kibwezi_East,---,Thange,---,health_worker,1,aggressive excessive_salivation biting_objects paralysis,---,,,,,,,,,,,
2021-12-14,-1.7843445,37.4049005,1801.0,Wild_animal,Wild animal (Jacal),Makueni,Kaiti,---,Ilima,---,community,1,aggressive,---,,,,,,,,,,,
2021-12-17,-0.1395224,34.3553877,1144.2,Dog,---,Siaya,---,Bondo,---,North Sakwa,health_worker,1,aggressive running_aimlessly hydrophobia paralysis,---,Canine,"","",North  sakwa,"",,"",Positive,"","",""
2021-12-20,0.0174978,34.2917777,1306.8,Dog,---,Siaya,---,Alego_Usonga,---,South East Alego,health_worker,1,aggressive excessive_salivation biting_objects high_libido paralysis,---,Canine,"",Randago,South East Alego,"",720047985,Z00861841,Positive,Positive,Nairobi,Sequenced
2021-12-22,-0.0647411,34.1414676,1139.0,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,Canine,"","",Yimbo East,"",,"",Positive,"","",""
2021-12-22,-0.0647411,34.1414676,1139.0,Dog,---,Siaya,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,Canine,"",Pala,Yimbo East,"",728162183,Z00861842,Positive,Positive,Nairobi,Sequenced
2021-12-29,-2.0389832742512226,37.750071762129664,941.0,Goat,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia excessive_salivation biting_objects high_libido ,Abnormal_vocalisation.,Caprine,CAP 007/2021,Milute,Mbuvo,"",712461571,Z0083252,Positive,Positive,Nairobi,Sequenced
2021-12-30,-1.8582553183659911,37.681130608543754,1121.0,Dog,---,Makueni,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,DM 030 / 2021,Kyemole,Kikumini,"",745113641,Z0083253,Positive,Positive,Nairobi,Sequenced
2022-01-01,-0.1908178,34.3248385,1155.0,Dog,---,Siaya,---,Rarieda,---,West Asembo,toll_free_line,1,aggressive running_aimlessly high_libido,---,Canine,"","",West Asembo,Rarieda,,"",Positive,"","",""
